publish_order,target_date,phase,format,working_title,cluster,primary_keyword,live_url,status,owner
1,2026-03-30,Phase 1,ops,— Week 1: GSC baseline export + coverage fixes (no publish unless ready),cross,,,planned,
2,2026-04-01,Phase 1,pillar,Bulk M-Pesa & payroll disbursements in Kenya: the complete operations guide,bulk_mpesa,bulk M-Pesa payments Kenya,https://blog.getcenty.com/bulk-mpesa-payroll-disbursements-kenya/,shipped,
3,2026-04-03,Phase 1,pillar,"Paying casual workers in Kenya: records, M-Pesa workflows, and what finance teams track",casual_pay,casual workers payments Kenya,,planned,
4,2026-04-06,Phase 1,pillar,"Expense management for Kenyan SMEs: policy, approvals, and audit-ready trails",expenses,expense management Kenya SMEs,,planned,
5,2026-04-08,Phase 1,pillar,"Payroll software in Kenya: how to choose (criteria, not hype)",payroll_sw,payroll software Kenya,,planned,
6,2026-04-10,Phase 1,guide,How to choose a payroll & payout stack in Kenya (2026 buyer guide),payroll_sw,payroll and M-Pesa disbursement software Kenya,,planned,
7,2026-04-13,Phase 1,spoke,M-Pesa B2C vs B2B for businesses: what payroll teams need to know,bulk_mpesa,M-Pesa B2C payroll Kenya,,planned,
8,2026-04-15,Phase 1,spoke,Pay multiple employees via M-Pesa the same day: a practical checklist,bulk_mpesa,pay multiple employees M-Pesa Kenya,,planned,
9,2026-04-17,Phase 1,spoke,Reconciling bulk M-Pesa payouts with payroll: step-by-step,bulk_mpesa,reconcile M-Pesa bulk payments payroll,,planned,
10,2026-04-20,Phase 1,spoke,Pay casual labourers via M-Pesa: field-to-finance workflow,casual_pay,pay casual labourers M-Pesa Kenya,,planned,
11,2026-04-22,Phase 1,asset,Kenya payroll month-end checklist (linkable PDF/HTML companion),payroll_sw,payroll month-end checklist Kenya,,planned,
12,2026-04-24,Phase 1,spoke,Daily and piece-rate pay in Kenya: what to document before you disburse,casual_pay,daily wage payment Kenya,,planned,
13,2026-04-27,Phase 2,vertical,"Paying construction casuals in Kenya: schedules, rates, and M-Pesa discipline",casual_pay,construction casual workers payment Kenya,,planned,
14,2026-04-29,Phase 2,vertical,Retail shifts & outlet payroll: controlling leakage in Kenya,payroll_sw,retail payroll Kenya shifts,,planned,
15,2026-05-01,Phase 2,statutory,"NSSF, SHIF, NITA on Kenyan payslips: what to verify each run",payroll_sw,NSSF SHIF NITA payroll Kenya,,planned,
16,2026-05-04,Phase 2,spoke,Payroll mistakes Kenyan SMEs make (and how to fix before KRA knocks),payroll_sw,payroll mistakes SMEs Kenya,,planned,
17,2026-05-06,Phase 2,changelog,Compliance note: [DATE] — what changed for employers (template),cross,Kenya payroll compliance update,,planned,
18,2026-05-08,Phase 2,spoke,Petty cash vs digital expenses: policy patterns for Kenyan SMEs,expenses,petty cash management Kenya,,planned,
19,2026-05-11,Phase 2,spoke,Employee expense claims: approval matrix and maker-checker,expenses,expense approval workflow Kenya,,planned,
20,2026-05-13,Phase 2,spoke,Receipt capture & expense reports: minimum viable audit trail,expenses,receipt capture expense reports Kenya,,planned,
21,2026-05-15,Phase 2,data,Kenya SME payroll FAQ: 25 real questions from finance teams,payroll_sw,payroll FAQ Kenya SMEs,,planned,
22,2026-05-18,Phase 2,spoke,Float management before a bulk M-Pesa payroll run,bulk_mpesa,M-Pesa payroll float Kenya,,planned,
23,2026-05-20,Phase 2,spoke,Best payroll software in Kenya: evaluation framework (not a ranked list),payroll_sw,best payroll software Kenya,,planned,
24,2026-05-22,Phase 2,spoke,KRA employer obligations & payroll data: high-level roadmap,cross,KRA payroll employer obligations Kenya,,planned,
25,2026-05-25,Phase 2,spoke,Integrating payroll with Xero or QuickBooks in Kenya,cross,payroll integration Xero QuickBooks Kenya,,planned,
